DATE,RETAILIMNSA
1992-01-01,235509
1992-02-01,239270
1992-03-01,244966
1992-04-01,249466
1992-05-01,247282
1992-06-01,246247
1992-07-01,248181
1992-08-01,247620
1992-09-01,254494
1992-10-01,269112
1992-11-01,275486
1992-12-01,256167
1993-01-01,254932
1993-02-01,260480
1993-03-01,268674
1993-04-01,269954
1993-05-01,268091
1993-06-01,265381
1993-07-01,263236
1993-08-01,263378
1993-09-01,272037
1993-10-01,288844
1993-11-01,296849
1993-12-01,274072
1994-01-01,270128
1994-02-01,275147
1994-03-01,280637
1994-04-01,283065
1994-05-01,285703
1994-06-01,286183
1994-07-01,282611
1994-08-01,288275
1994-09-01,299464
1994-10-01,317119
1994-11-01,324979
1994-12-01,299812
1995-01-01,300358
1995-02-01,306330
1995-03-01,313577
1995-04-01,317499
1995-05-01,316421
1995-06-01,312495
1995-07-01,307463
1995-08-01,311013
1995-09-01,319667
1995-10-01,340454
1995-11-01,349546
1995-12-01,317304
1996-01-01,314998
1996-02-01,319748
1996-03-01,321741
1996-04-01,323805
1996-05-01,322877
1996-06-01,318780
1996-07-01,318297
1996-08-01,321058
1996-09-01,331094
1996-10-01,352641
1996-11-01,357896
1996-12-01,328160
1997-01-01,324554
1997-02-01,330892
1997-03-01,334058
1997-04-01,337818
1997-05-01,334627
1997-06-01,331608
1997-07-01,328950
1997-08-01,328574
1997-09-01,341386
1997-10-01,361109
1997-11-01,367252
1997-12-01,338790
1998-01-01,335808
1998-02-01,341194
1998-03-01,349082
1998-04-01,352237
1998-05-01,343885
1998-06-01,339989
1998-07-01,336653
1998-08-01,338086
1998-09-01,351343
1998-10-01,371435
1998-11-01,380307
1998-12-01,351255
1999-01-01,349711
1999-02-01,355880
1999-03-01,366725
1999-04-01,371193
1999-05-01,367118
1999-06-01,366068
1999-07-01,359418
1999-08-01,361957
1999-09-01,374507
1999-10-01,394815
1999-11-01,406487
1999-12-01,378813
2000-01-01,375973
2000-02-01,380272
2000-03-01,388376
2000-04-01,390976
2000-05-01,390774
2000-06-01,391016
2000-07-01,381644
2000-08-01,388223
2000-09-01,398872
2000-10-01,423602
2000-11-01,433460
2000-12-01,400394
2001-01-01,398355
2001-02-01,399181
2001-03-01,405689
2001-04-01,406537
2001-05-01,402962
2001-06-01,397969
2001-07-01,390473
2001-08-01,395505
2001-09-01,405773
2001-10-01,417028
2001-11-01,420402
2001-12-01,387859
2002-01-01,388015
2002-02-01,393294
2002-03-01,398361
2002-04-01,399291
2002-05-01,399389
2002-06-01,396142
2002-07-01,391803
2002-08-01,392198
2002-09-01,407598
